id,userId,task,input_type,input,input_assessment,confidence,understanding,valence,arousal,task_start,task_end,task_time,valence_high,arousal_high,emotion_quartile,parsed_input
,124,1,final_output,"Unterwiehre-Süd, Herdern-Nord, Oberwiehre, Waldsee, Haslach-Haid, Stühlinger-Eschholz, Altstadt-Ring, Alt-Betzenhausen, Littenweiler, Lehen, Munzingen, Betzenhausen-Bischofslinde, Ebnet, Vauban, Oberau, Kappel, Haslach-Gartenstadt, Weingarten, Brühl-Industriegebiet, Herdern-Süd, Opfingen, Mooswald-West, Zähringen, Mundenhof, Mooswald-Ost, St. Georgen-Nord, Mittelwiehre, Hochdorf, Haslach-Egerten, Nicht zuordenbar, Günterstal, Landwasser, Rieselfeld, Unterwiehre-Nord, Brühl-Beurbarung, Waltershofen, Altstadt-Mitte, Neuburg, Haslach-Schildacker, Brühl-Güterbahnhof, Tiengen, St. Georgen-Süd, Alt-Stühlinger.",,6.0,7.0,5.0,6.0,1719301237795.0,1719301279357.0,56.03,1,1,4,"Unterwiehre-Süd, Herdern-Nord, Oberwiehre, Waldsee, Haslach-Haid, Stühlinger-Eschholz, Altstadt-Ring, Alt-Betzenhausen, Littenweiler, Lehen, Munzingen, Betzenhausen-Bischofslinde, Ebnet, Vauban, Oberau, Kappel, Haslach-Gartenstadt, Weingarten, Brühl-Industriegebiet, Herdern-Süd, Opfingen, Mooswald-West, Zähringen, Mundenhof, Mooswald-Ost, St. Georgen-Nord, Mittelwiehre, Hochdorf, Haslach-Egerten, Nicht zuordenbar, Günterstal, Landwasser, Rieselfeld, Unterwiehre-Nord, Brühl-Beurbarung, Waltershofen, Altstadt-Mitte, Neuburg, Haslach-Schildacker, Brühl-Güterbahnhof, Tiengen, St. Georgen-Süd, Alt-Stühlinger."
,124,1,prompt,"Nennen Sie alle Bezirke in einer durch Kommata getrennten Liste (bspw. Bezirk 1, Bezirk 2, Bezirk 3...). Falls es keine Bezirke gibt, schreiben Sie ""Keine"" als Antwort.",,,,,,,1719301250.0,,0,0,1,"Nennen Sie alle Bezirke in einer durch Kommata getrennten Liste (bspw. Bezirk 1, Bezirk 2, Bezirk 3...). Falls es keine Bezirke gibt, schreiben Sie ""Keine"" als Antwort."
,124,2,final_output,Dauert zu lange,,1.0,1.0,1.0,5.0,1719301417964.0,1719301510753.0,103.5,0,1,2,Dauert zu lange
,124,2,prompt,"Nennen Sie die Einwohnerzahlen die sich aus den Daten der Gesamtstadt und der einzelnen Stadtbezirke ergeben.

",,,,,,,1719301424.0,,0,0,1,"Nennen Sie die Einwohnerzahlen die sich aus den Daten der Gesamtstadt und der einzelnen Stadtbezirke ergeben.

"
,124,3,final_output,Alt-Stühlinger,,2.0,3.0,3.0,5.0,1719301293214.0,1719301393553.0,124.84,0,1,2,Alt-Stühlinger
,124,3,prompt,"Nennen sie den Stadtbezirk mit den meisten Einpersonenhaushalten und die Anzahl der insgesamt dort lebenden Erwachsenen.

",,,,,,,1719301301.0,,0,0,1,"Nennen sie den Stadtbezirk mit den meisten Einpersonenhaushalten und die Anzahl der insgesamt dort lebenden Erwachsenen.

"
,124,3,llm_answer,"{""output"": ""Der Stadtbezirk mit den meisten Einpersonenhaushalten ist Alt-St\u00fchlinger mit insgesamt 8146 dort lebenden Erwachsenen.""}",,,,3.0,3.0,,1719301371.0,,0,0,1,Der Stadtbezirk mit den meisten Einpersonenhaushalten ist Alt-Stühlinger mit insgesamt 8146 dort lebenden Erwachsenen.
,124,4,final_output,93.238,,1.0,1.0,1.0,5.0,1719301521806.0,1719301616486.0,103.9,0,1,2,93.238
,124,4,prompt,"Nennen Sie die Anzahl der Kitaplätze und der Kinder unter 6 Jahren.

",,,,,,,1719301529.0,,0,0,1,"Nennen Sie die Anzahl der Kitaplätze und der Kinder unter 6 Jahren.

"
,124,4,llm_answer,"{""output"": ""Die Gesamtzahl der Kitapl\u00e4tze betr\u00e4gt 93.238 und die Anzahl der Pl\u00e4tze f\u00fcr Kinder unter 3 Jahren (ohne BSG/Tagespflege) betr\u00e4gt 24.849.""}",,,,2.0,2.0,,1719301576.0,,0,0,1,Die Gesamtzahl der Kitaplätze beträgt 93.238 und die Anzahl der Plätze für Kinder unter 3 Jahren (ohne BSG/Tagespflege) beträgt 24.849.
